b0,b_house_size,b_no_vehs,b_income,b_children,sigma,b_public
1,0,0,0,0,0,0
1.000356309227712,0.0011925169401479036,0.0004555429202843495,0.02789114810776101,0.0002711223887344659,0.0007252161611684369,0.000380571792084928
1.0051694226624162,0.5085589544977003,0.11459426814194777,0.013917551760265132,0.15214241729448413,-0.15835380046244327,-0.267035676228945
1.0051136603347897,0.5561023973679137,0.157450041892943,0.010431309646756292,0.1698386881953839,-0.0742648157206982,-0.35790220302194997
1.0036524669291809,0.5156976801710162,0.22276340979450715,0.01351644531750471,0.16637769471709624,-0.09373740503145561,-0.48068472984819244
1.0028991713748985,0.5119064618882698,0.2667992403552428,0.01265061187221533,0.17988987298159087,-0.09410674642546182,-0.4655779021168496
0.9937969596930668,0.4920853566393227,0.26323070615191446,0.013002437438623308,0.25053873203333943,-0.09438041985788481,-0.4662469787039108
0.7288639444759883,0.49495622606599515,0.2675686536680982,0.016204568789622245,0.2468274975221269,-0.09858022790657525,-0.46482366982065654
0.8157337556942602,0.4271539343563993,0.29870679659309,0.01781112470047632,0.2391450432457801,-0.2722010158380348,-0.5096613969036785
0.7351476706222687,0.3732360113003964,0.3060979882793651,0.019569517306029408,0.2166104631246825,-0.6097343509080011,-0.5143754512119423
0.867576038619229,0.41843772195550255,0.27931460408495506,0.014775835490049443,0.2210011044054479,-0.8911424379140267,-0.4809394021149451
0.8777454633559307,0.4108682438236758,0.2610143750445467,0.01479394275343911,0.21398513773995037,-0.922420747427679,-0.4503065770471244
0.8832924795513531,0.4217249696010224,0.26109149173619833,0.014383449730128974,0.2159175468650668,-0.9533184842753372,-0.45260597402123426
0.8874747863557829,0.41843935653990905,0.2633046184428103,0.014392664387576543,0.21676138810465814,-0.9620638488279728,-0.4554137869719594
0.8795908373636475,0.41860246243109583,0.2632439907826809,0.014501589494522047,0.21577942694806646,-0.9626702830383367,-0.45546380341987863
0.8829741258408773,0.4183081091830848,0.26330002995053736,0.014468935396368838,0.21620449854196536,-0.9630923088647809,-0.45544201893445996
0.8829871945194284,0.41838588116616027,0.26320331156465576,0.014464044030930902,0.2162045804737335,-0.963400158509296,-0.4552936485841187
0.8832516387930762,0.4183921406085221,0.26321023421419565,0.014462114246134718,0.21611823161907648,-0.9633362129766722,-0.45534669146256607
0.8830605575067135,0.4183728821791037,0.26323123156247263,0.014464445798133364,0.2161869713863767,-0.9633194819263048,-0.45534743227656665
0.8830362917808412,0.4183743656667251,0.263225613339295,0.014464493827270282,0.21619315777119733,-0.9633350220492233,-0.45533582560540364
0.8830362919923929,0.4183743656815792,0.26322561338763273,0.01446449382419095,0.216193157697265,-0.9633350220192073,-0.4553358256173992
