asc_tram,asc_metro,beta_tc,beta_tt,b_headway
0,0,0,0,0
-0.0010380528195527098,0.01107732151100002,0.02000633415774475,-0.25081157770809037,-0.08610357996395415
0.0018385846361356835,0.007592304878831219,0.013901959089878606,-0.19319376350330014,-0.09967609348111584
0.005870442930924622,0.0037187829875089916,0.004385788944447079,-0.09934640473537862,-0.15887481619227967
0.010229650711948028,0.0019708763606389647,-0.0050262599636104015,-0.03004510412238541,-0.27559272119643013
0.012535359199096988,0.0030100791551934706,-0.007756017836163894,-0.040737278773116906,-0.36080278623455664
0.019755609293052496,0.003908536037820935,-0.020828416945401072,-0.03494856704727869,-0.5937487539629664
0.030820377637069796,-0.0024186751855228648,-0.05845788695545186,-0.03761167308733322,-0.7516857760939035
0.05066800980646403,-0.018045824231677457,-0.13336750243677098,-0.04537991337376896,-0.9149078747650209
0.08060490977808821,-0.04493874143064008,-0.2513681927424409,-0.05822645163848053,-1.0612174083242127
0.12903501400608683,-0.09163697502851591,-0.4522184221425375,-0.07972299175244643,-1.208530272514294
0.18035814122528118,-0.14710662613323128,-0.7229032092565979,-0.10678474222798702,-1.2913629622522045
0.14689222252893583,-0.13413690108733087,-0.8851696741748384,-0.11760849956919744,-1.268250031527573
0.11302143759981959,-0.11125668018341296,-0.9259424014503425,-0.11779814619866785,-1.2533070456972235
0.0653238058306756,-0.07598540779920607,-0.9511355598744314,-0.1151683038134914,-1.2396822319082954
0.02618274150447277,-0.045271383038232055,-0.9597801314543078,-0.11409663784576951,-1.2339355401931729
0.021206173037404023,-0.040888460535319165,-0.9599497034790027,-0.11181580688870847,-1.2396564845648665
0.012117728015731839,-0.03295449601635143,-0.9612291568260994,-0.11216258009997716,-1.24673413801015
0.011879111835099538,-0.03217825915727298,-0.9658987978589364,-0.11290893494754801,-1.2556693824273468
0.01280490768782664,-0.0325392076142483,-0.9700055574959928,-0.11330850794245942,-1.2592681510716348
0.01458186024780502,-0.03029379378624227,-0.9725667764681165,-0.11342571289550199,-1.2602959532358473
0.03196517900990157,-0.005188850722129629,-0.9860530373943504,-0.11371716956664578,-1.2653611895862291
0.06717698969902883,0.0476936580340334,-0.9994472120608167,-0.11328850799513966,-1.2689986005608536
0.1371715980436583,0.15009241584341482,-1.0107131814237809,-0.11109198355610256,-1.2632565939696887
0.16712765079410793,0.20608615528146085,-1.009177339634942,-0.10935960838828532,-1.256803784971238
0.183873519814527,0.21393048287420585,-0.9957571335652458,-0.10835541613654207,-1.2520975947290331
0.17132137047794552,0.2098254001191904,-0.9980838140042279,-0.10851211778384029,-1.2517487742973215
0.17035593361577617,0.20674708041075807,-0.9978777127162736,-0.10861705711283033,-1.2520577397019024
0.1702602752917842,0.20664857651058377,-0.9978785790890407,-0.10860021662556922,-1.2521100964763203
0.17013060506680935,0.20646182292236775,-0.9978491346722321,-0.10860440805019034,-1.2521344496702587
